Team Leader,Number of Participants,Total Debris Collected,Location Name,Organization/Dive Centre,City,Country,Date,Survey Duration,GPS Coordinates,Weather Conditions,Survey Depth Range,Area Surveyed,Dominant Substrate,Ecosystem,Wave Conditions,plastic_Caps & Lids (plastic),plastic_Fishing: Line,plastic_Plastic Fragments,"metal_Cans: Food/juice, Other (tin)","metal_Wire, Wire Mesh & Barbed Wire","metal_Fishing: Sinkers, Lures, Hooks",wood_Wood Fragments,plastic_Bags: Trash (plastic),plastic_Beverage Bottles: 2 Litres Or More (plastic),plastic_Beverage Bottles: Less Than 2 Litres (plastic),plastic_Fishing: Nets & Pieces Of Nets,plastic_Food Wrappers (plastic),"plastic_Sheeting: Tarpaulin, Plastic Sheets, Palette Wrap",plastic_Syringes (plastic),plastic_Rope (plastic/nylon),metal_Beverage Cans (aluminium),metal_Cars & Car Parts,metal_Pipes & Rebar,metal_Metal Fragments,rubber_Tires/tyres,cloth_Gloves (cloth),cloth_Cloth Fragments,"mixed_Shoes-flip Flops, Sandals, Tennis, Etc",plastic_Bags-grocery/retail (plastic),plastic_Mesh Bags: Fruit/vegetable/shellfish,"plastic_Buckets, Drums & Jerrycans-2 Liters Or More","plastic_Containers: Fast Food, Lunch Boxes & Similar","plastic_Cups, Plates, Forks, Knives, Spoons (plastic)",plastic_Pipes (plastic-PVC),glass_Cups & Plates-tableware/dishes (glass & Ceramic),glass_Jars-food (glass),glass_Glass & Ceramic Fragments,glass_Beverage Bottles (glass),cloth_Towels/rags,paper_Cardboard: Packaging & Cartons,mixed_Clothing,other_Rubber spring,other_Scissors,other_Cd packaging,other_Rubber mat,"plastic_SCUBA & Snorkel Gear-masks, Snorkels, Fins","paper_Paper, Cardboard Fragments",other_Scub Tank Boot,plastic_Foam Insulation & Packaging,"plastic_Fishing: Lures, Rods/poles",plastic_Bottles: Bleach/cleaner Bottles,plastic_Furnishings (plastic),plastic_Cigarette Filters,plastic_Strapping Bands (plastic),rubber_Rubber Fragments,other_plastic hanger,other_Plastic childrens spade,other_Plastic childrens toys,plastic_Buoys & Floats (plastic & Foamed),metal_Wrappers (foil/metal),plastic_Bottles: Oil/lube,plastic_Carpet (synthetic),glass_Light Globes/bulbs/tubes,other_shower curtain,other_moskito net,paper_Bags (paper),plastic_Gloves (latex),metal_Aerosol/spray Cans,metal_Caps & Lids (metal),"metal_Gas Bottles/cylinder, Drums-more Than 4 Liters",wood_Pallets,cloth_Rope And String (cloth),"mixed_Bricks, Cinderblocks & Chunks Of Cement",cloth_Bags (cloth)
Allan Prommik,2,0.4 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"19 April, 2017",55 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136246,Windy,1–19 meters,5393 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramadan,2,1 kgs (estimated),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"23 February, 2017",36 Minutes,Latitude: 26.205403139253 Longitude: 34.2196441362457,Calm and sunny,2–12 meters,4650.39 m2,sand,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,2,7,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Meadows,2,2.5 kgs (estimated),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"13 January, 2017",50 Minutes,Latitude: 26.205403139253 Longitude: 34.2196441362457,"Wind coming from north , northeast.",1–15 meters,4650.39 m2,sand,coral reef,Slight for waves 0.5 -1.25 meter high,2,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Meadows,4,2 kgs (estimated),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"12 January, 2017",47 Minutes,Latitude: 26.205403139253 Longitude: 34.2196441362457,Calm and sunny,1–12 meters,4650.39 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,3,3,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramadan,2,0.485 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"18 December, 2016",45 Minutes,Latitude: 26.205403139253 Longitude: 34.2196441362457,Sunny and windy 15-20 mph,2–15 meters,5640.28 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,NA,13,3,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Meadows,4,2.5 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"12 August, 2016",46 Minutes,Latitude: 26.205403139253 Longitude: 34.2196441362457,Calm with on shore winds,1–15 meters,5393 m2,sand,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,7,6,5,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yannick MORILHAT,19,150 kgs (estimated),Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"30 July, 2013",60 Minutes,Latitude: 26.204402 Longitude: 34.217407,,0–0 meters,12185 m2,sand,Desert,Calm (glassy to rippled) for waves 0 – 0.1 meter high,NA,NA,1000,NA,NA,NA,NA,NA,2,134,NA,NA,NA,NA,NA,291,NA,NA,4,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,1,NA,100,NA,5,NA,NA,NA,NA,NA,1,1,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
yannick MORILHAT,2,1 kgs (estimated),Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"16 July, 2013",45 Minutes,Latitude: 26.205382 Longitude: 34.219754,,3–14 meters,650 m2,coral,coral reef,Calm (glassy to rippled) for waves 0 – 0.1 meter high,NA,30,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
yannick MORILHAT,2,1 kgs (estimated),Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"14 July, 2013",45 Minutes,Latitude: 26.205577 Longitude: 34.219955,,3–12 meters,650 m2,coral,coral reef,Calm (glassy to rippled) for waves 0 – 0.1 meter high,NA,25,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yannick Morilhat,2,0.5 kgs (estimated),Serib Kebir,Pharaoh Dive Club,El Quseir,Egypt,"9 July, 2013",25 Minutes,Latitude: 25.867314 Longitude: 34.416068,,2–12 meters,25 m2,Rubbish floating in the water,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yannick Morilhat,2,2 kgs (estimated),Abu sauatir,Pharaoh Dive Club,El Quseir,Egypt,"9 July, 2013",80 Minutes,Latitude: 26.205886 Longitude: 34.220189,,4–13 meters,100 m2,coral,coral reef,Calm (glassy to rippled) for waves 0 – 0.1 meter high,NA,20,100,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Rattle,3,4 kgs (estimated),Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"28 July, 2012",70 Minutes,Latitude: 26.205427 Longitude: 34.219837,"Good calm weather, sunny and hot.",3–25 meters,25 m2,coral,coral reef,Calm (glassy to rippled) for waves 0 – 0.1 meter high,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Meadows,39,332 kgs (estimated),Abu Hamra,Pharaoh Dice Club,Hamrawein,Egypt,"24 February, 2012",120 Minutes,Latitude: 26.0614 Longitude: 34.1652,windy,0–10 meters,100 m2,sand/gravel beach,coral/rocky reef,Slight for waves 0.5 -1.25 meter high,2,NA,NA,NA,5,NA,40,2,5,50,NA,2,NA,NA,NA,20,NA,NA,10,NA,NA,5,5,2,NA,NA,NA,1,NA,NA,NA,8,20,NA,NA,10,NA,NA,NA,NA,2,10,NA,NA,NA,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,20,1,4,2,10,50,NA
Clare Meadows,2,20 kgs (estimated),Fanadir House reef,Pharaoh Dive Club,El Quseir,Egypt,"26 August, 2011",65 Minutes,Latitude: 26.061 Longitude: 34.28,wind blowing north to south. Calm conditions.,3–12 meters,30 m2,coral,,Smooth (wavelets) for waves 0.1 - 0.5 meter high,4,5,NA,NA,NA,NA,NA,1,NA,2,NA,7,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
